2017-02-03 18:31:45.5895 | DEBUG | Task2.AllActionsForTests | Going to the journal page http://journals.lww.com/jonajournal
2017-02-03 18:31:57.6415 | INFO | Task2.AllActionsForTests | Checking if element exists Articles & Issues in jonajournal, its XPath: //a[contains(text(), "Articles & Issues")]
2017-02-03 18:31:57.6855 | INFO | Task2.AllActionsForTests | Checking if element exists Current Issue in jonajournal, its XPath: //span[contains(text(), "Current Issue")]
2017-02-03 18:31:57.7225 | INFO | Task2.AllActionsForTests | Checking if element exists Articles & Issues in jonajournal, its XPath: //a[contains(text(), "Articles & Issues")]
2017-02-03 18:31:57.7365 | INFO | Task2.AllActionsForTests | Checking if element exists Previous Issues in jonajournal, its XPath: //span[contains(text(), "Previous Issues")]
2017-02-03 18:31:57.7865 | INFO | Task2.AllActionsForTests | Checking if element exists Articles & Issues in jonajournal, its XPath: //a[contains(text(), "Articles & Issues")]
2017-02-03 18:31:57.8025 | INFO | Task2.AllActionsForTests | Checking if element exists Published Ahead-of-Print in jonajournal, its XPath: //span[contains(text(), "Published Ahead-of-Print")]
2017-02-03 18:31:57.8465 | INFO | Task2.AllActionsForTests | Checking if element exists Collections in jonajournal, its XPath: //a[contains(text(), "Collections")]
2017-02-03 18:31:57.8775 | INFO | Task2.AllActionsForTests | Checking if element exists Topical Collections in jonajournal, its XPath: //span[contains(text(), "Topical Collections")]
2017-02-03 18:31:57.9055 | INFO | Task2.AllActionsForTests | Checking if element exists For Authors in jonajournal, its XPath: //a[contains(text(), "For Authors")]
2017-02-03 18:31:57.9335 | INFO | Task2.AllActionsForTests | Checking if element exists Information for Authors in jonajournal, its XPath: //span[contains(text(), "Information for Authors")]
2017-02-03 18:31:57.9715 | INFO | Task2.AllActionsForTests | Checking if element exists For Authors in jonajournal, its XPath: //a[contains(text(), "For Authors")]
2017-02-03 18:31:57.9815 | INFO | Task2.AllActionsForTests | Checking if element exists Language Editing Services in jonajournal, its XPath: //span[contains(text(), "Language Editing Services")]
2017-02-03 18:31:58.0085 | INFO | Task2.AllActionsForTests | Checking if element exists For Authors in jonajournal, its XPath: //a[contains(text(), "For Authors")]
2017-02-03 18:31:58.0085 | INFO | Task2.AllActionsForTests | Checking if element exists Author's Institution Press Release Guidelines in jonajournal, its XPath: //span[contains(text(), "Author's Institution Press Release Guidelines")]
2017-02-03 18:31:58.0475 | INFO | Task2.AllActionsForTests | Checking if element exists Journal Info in jonajournal, its XPath: //a[contains(text(), "Journal Info")]
2017-02-03 18:31:58.0755 | INFO | Task2.AllActionsForTests | Checking if element exists About the Journal in jonajournal, its XPath: //span[contains(text(), "About the Journal")]
2017-02-03 18:31:58.1045 | INFO | Task2.AllActionsForTests | Checking if element exists Journal Info in jonajournal, its XPath: //a[contains(text(), "Journal Info")]
2017-02-03 18:31:58.1145 | INFO | Task2.AllActionsForTests | Checking if element exists Editorial Board in jonajournal, its XPath: //span[contains(text(), "Editorial Board")]
2017-02-03 18:31:58.1405 | INFO | Task2.AllActionsForTests | Checking if element exists Journal Info in jonajournal, its XPath: //a[contains(text(), "Journal Info")]
2017-02-03 18:31:58.1505 | INFO | Task2.AllActionsForTests | Checking if element exists Advertising in jonajournal, its XPath: //span[contains(text(), "Advertising")]
2017-02-03 18:31:58.1775 | INFO | Task2.AllActionsForTests | Checking if element exists Journal Info in jonajournal, its XPath: //a[contains(text(), "Journal Info")]
2017-02-03 18:31:58.1775 | INFO | Task2.AllActionsForTests | Checking if element exists Open Access in jonajournal, its XPath: //span[contains(text(), "Open Access")]
2017-02-03 18:31:58.2145 | INFO | Task2.AllActionsForTests | Checking if element exists Journal Info in jonajournal, its XPath: //a[contains(text(), "Journal Info")]
2017-02-03 18:31:58.2245 | INFO | Task2.AllActionsForTests | Checking if element exists Subscription Services in jonajournal, its XPath: //span[contains(text(), "Subscription Services")]
2017-02-03 18:31:58.2525 | INFO | Task2.AllActionsForTests | Checking if element exists Journal Info in jonajournal, its XPath: //a[contains(text(), "Journal Info")]
2017-02-03 18:31:58.2625 | INFO | Task2.AllActionsForTests | Checking if element exists Reprints in jonajournal, its XPath: //span[contains(text(), "Reprints")]
2017-02-03 18:31:58.2905 | INFO | Task2.AllActionsForTests | Checking if element exists Journal Info in jonajournal, its XPath: //a[contains(text(), "Journal Info")]
2017-02-03 18:31:58.2905 | INFO | Task2.AllActionsForTests | Checking if element exists Rights and Permissions in jonajournal, its XPath: //span[contains(text(), "Rights and Permissions")]
2017-02-03 18:31:58.3345 | DEBUG | Task2.AllActionsForTests | Going to the journal page http://journals.lww.com/jonmd
2017-02-03 18:32:00.9715 | INFO | Task2.AllActionsForTests | Checking if element exists Articles & Issues in jonmd, its XPath: //a[contains(text(), "Articles & Issues")]
2017-02-03 18:32:00.9845 | INFO | Task2.AllActionsForTests | Checking if element exists Current Issue in jonmd, its XPath: //span[contains(text(), "Current Issue")]
2017-02-03 18:32:00.9845 | INFO | Task2.AllActionsForTests | Checking if element exists Articles & Issues in jonmd, its XPath: //a[contains(text(), "Articles & Issues")]
2017-02-03 18:32:01.0075 | INFO | Task2.AllActionsForTests | Checking if element exists Previous Issues in jonmd, its XPath: //span[contains(text(), "Previous Issues")]
2017-02-03 18:32:01.0175 | INFO | Task2.AllActionsForTests | Checking if element exists Articles & Issues in jonmd, its XPath: //a[contains(text(), "Articles & Issues")]
2017-02-03 18:32:01.0315 | INFO | Task2.AllActionsForTests | Checking if element exists Published Ahead-of-Print in jonmd, its XPath: //span[contains(text(), "Published Ahead-of-Print")]
2017-02-03 18:32:01.0315 | INFO | Task2.AllActionsForTests | Checking if element exists For Authors in jonmd, its XPath: //a[contains(text(), "For Authors")]
2017-02-03 18:32:01.0855 | INFO | Task2.AllActionsForTests | Checking if element exists Information for Authors in jonmd, its XPath: //span[contains(text(), "Information for Authors")]
2017-02-03 18:32:01.0975 | INFO | Task2.AllActionsForTests | Checking if element exists For Authors in jonmd, its XPath: //a[contains(text(), "For Authors")]
2017-02-03 18:32:01.1095 | INFO | Task2.AllActionsForTests | Checking if element exists Language Editing Services in jonmd, its XPath: //span[contains(text(), "Language Editing Services")]
2017-02-03 18:32:01.1095 | INFO | Task2.AllActionsForTests | Checking if element exists Journal Info in jonmd, its XPath: //a[contains(text(), "Journal Info")]
2017-02-03 18:32:01.1375 | INFO | Task2.AllActionsForTests | Checking if element exists About the Journal in jonmd, its XPath: //span[contains(text(), "About the Journal")]
2017-02-03 18:32:01.1485 | INFO | Task2.AllActionsForTests | Checking if element exists Journal Info in jonmd, its XPath: //a[contains(text(), "Journal Info")]
2017-02-03 18:32:01.1585 | INFO | Task2.AllActionsForTests | Checking if element exists Editorial Board in jonmd, its XPath: //span[contains(text(), "Editorial Board")]
2017-02-03 18:32:01.1585 | INFO | Task2.AllActionsForTests | Checking if element exists Journal Info in jonmd, its XPath: //a[contains(text(), "Journal Info")]
2017-02-03 18:32:01.1785 | INFO | Task2.AllActionsForTests | Checking if element exists Advertising in jonmd, its XPath: //span[contains(text(), "Advertising")]
2017-02-03 18:32:01.1895 | INFO | Task2.AllActionsForTests | Checking if element exists Journal Info in jonmd, its XPath: //a[contains(text(), "Journal Info")]
2017-02-03 18:32:01.2025 | INFO | Task2.AllActionsForTests | Checking if element exists Open Access in jonmd, its XPath: //span[contains(text(), "Open Access")]
2017-02-03 18:32:01.2025 | INFO | Task2.AllActionsForTests | Checking if element exists Journal Info in jonmd, its XPath: //a[contains(text(), "Journal Info")]
2017-02-03 18:32:01.2235 | INFO | Task2.AllActionsForTests | Checking if element exists Subscription Services in jonmd, its XPath: //span[contains(text(), "Subscription Services")]
2017-02-03 18:32:01.2345 | INFO | Task2.AllActionsForTests | Checking if element exists Journal Info in jonmd, its XPath: //a[contains(text(), "Journal Info")]
2017-02-03 18:32:01.2345 | INFO | Task2.AllActionsForTests | Checking if element exists Reprints in jonmd, its XPath: //span[contains(text(), "Reprints")]
2017-02-03 18:32:01.2565 | INFO | Task2.AllActionsForTests | Checking if element exists Journal Info in jonmd, its XPath: //a[contains(text(), "Journal Info")]
2017-02-03 18:32:01.2665 | INFO | Task2.AllActionsForTests | Checking if element exists Rights and Permissions in jonmd, its XPath: //span[contains(text(), "Rights and Permissions")]
