2017-02-06 15:25:24.9649 | DEBUG | Task2.JournalPage | Going to the journal page http://journals.lww.com/jnsa
2017-02-06 15:25:45.1709 | INFO | Task2.JournalPage | Moving to the Login Page
2017-02-06 15:25:45.1709 | INFO | Task2.BaseElement | Clicking on Login Link. Its locator: By.XPath: //a[@id = 'ctl00_ucUserActionsToolbar_lnkLogin']
2017-02-06 15:25:47.2489 | INFO | Task2.BaseElement | Clicking on Login Button on Login Page. Its locator: By.XPath: //input[@value='Login']
2017-02-06 15:25:50.9209 | INFO | Task2.BaseElement | Clicking on Logout Button. Its locator: By.XPath: //a[@id = 'ctl00_ucUserActionsToolbar_lnkLogout']
2017-02-06 15:25:53.5049 | INFO | Task2.JournalPage | Checking if element exists Articles & Issues in jnsa, its XPath: //a[contains(text(), "Articles & Issues")]
2017-02-06 15:25:53.5369 | INFO | Task2.JournalPage | Checking if element exists Current Issue in jnsa, its XPath: //span[contains(text(), "Current Issue")]
2017-02-06 15:25:53.5669 | INFO | Task2.JournalPage | Checking if element exists Articles & Issues in jnsa, its XPath: //a[contains(text(), "Articles & Issues")]
2017-02-06 15:25:53.5669 | INFO | Task2.JournalPage | Checking if element exists Previous Issues in jnsa, its XPath: //span[contains(text(), "Previous Issues")]
2017-02-06 15:25:53.6149 | INFO | Task2.JournalPage | Checking if element exists Articles & Issues in jnsa, its XPath: //a[contains(text(), "Articles & Issues")]
2017-02-06 15:25:53.6289 | INFO | Task2.JournalPage | Checking if element exists Published Ahead-of-Print in jnsa, its XPath: //span[contains(text(), "Published Ahead-of-Print")]
2017-02-06 15:25:53.6569 | INFO | Task2.JournalPage | Checking if element exists For Authors in jnsa, its XPath: //a[contains(text(), "For Authors")]
2017-02-06 15:25:53.6839 | INFO | Task2.JournalPage | Checking if element exists Information for Authors in jnsa, its XPath: //span[contains(text(), "Information for Authors")]
2017-02-06 15:25:53.7109 | INFO | Task2.JournalPage | Checking if element exists For Authors in jnsa, its XPath: //a[contains(text(), "For Authors")]
2017-02-06 15:25:53.7259 | INFO | Task2.JournalPage | Checking if element exists Language Editing Services in jnsa, its XPath: //span[contains(text(), "Language Editing Services")]
2017-02-06 15:25:53.7549 | INFO | Task2.JournalPage | Checking if element exists Journal Info in jnsa, its XPath: //a[contains(text(), "Journal Info")]
2017-02-06 15:25:53.7819 | INFO | Task2.JournalPage | Checking if element exists About the Journal in jnsa, its XPath: //span[contains(text(), "About the Journal")]
2017-02-06 15:25:53.8079 | INFO | Task2.JournalPage | Checking if element exists Journal Info in jnsa, its XPath: //a[contains(text(), "Journal Info")]
2017-02-06 15:25:53.8189 | INFO | Task2.JournalPage | Checking if element exists Editorial Board in jnsa, its XPath: //span[contains(text(), "Editorial Board")]
2017-02-06 15:25:53.8459 | INFO | Task2.JournalPage | Checking if element exists Journal Info in jnsa, its XPath: //a[contains(text(), "Journal Info")]
2017-02-06 15:25:53.8459 | INFO | Task2.JournalPage | Checking if element exists Affiliated Societies in jnsa, its XPath: //span[contains(text(), "Affiliated Societies")]
2017-02-06 15:25:53.8849 | INFO | Task2.JournalPage | Checking if element exists Journal Info in jnsa, its XPath: //a[contains(text(), "Journal Info")]
2017-02-06 15:25:53.8949 | INFO | Task2.JournalPage | Checking if element exists Advertising in jnsa, its XPath: //span[contains(text(), "Advertising")]
2017-02-06 15:25:53.9219 | INFO | Task2.JournalPage | Checking if element exists Journal Info in jnsa, its XPath: //a[contains(text(), "Journal Info")]
2017-02-06 15:25:53.9219 | INFO | Task2.JournalPage | Checking if element exists Open Access in jnsa, its XPath: //span[contains(text(), "Open Access")]
2017-02-06 15:25:53.9579 | INFO | Task2.JournalPage | Checking if element exists Journal Info in jnsa, its XPath: //a[contains(text(), "Journal Info")]
2017-02-06 15:25:53.9579 | INFO | Task2.JournalPage | Checking if element exists Subscription Services in jnsa, its XPath: //span[contains(text(), "Subscription Services")]
2017-02-06 15:25:53.9939 | INFO | Task2.JournalPage | Checking if element exists Journal Info in jnsa, its XPath: //a[contains(text(), "Journal Info")]
2017-02-06 15:25:54.0039 | INFO | Task2.JournalPage | Checking if element exists Reprints in jnsa, its XPath: //span[contains(text(), "Reprints")]
2017-02-06 15:25:54.0309 | INFO | Task2.JournalPage | Checking if element exists Journal Info in jnsa, its XPath: //a[contains(text(), "Journal Info")]
2017-02-06 15:25:54.0309 | INFO | Task2.JournalPage | Checking if element exists Rights and Permissions in jnsa, its XPath: //span[contains(text(), "Rights and Permissions")]
2017-02-06 15:25:54.0729 | DEBUG | Task2.JournalPage | Going to the journal page http://journals.lww.com/jonajournal
2017-02-06 15:25:59.2149 | INFO | Task2.JournalPage | Moving to the Login Page
